movie_id,title,vote_average,vote_count,status,release_date,revenue,adult,budget,imdb_id,original_language,original_title,overview,popularity,genres,production_companies,production_countries,spoken_languages
4520617,The 40 Year Old Virgin,6.374,6218,Released,8/11/2005,177378645,FALSE,26000000,tt0405422,en,The 40 Year Old Virgin,"Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom.",22.984,"Comedy, Romance","Universal Pictures, Apatow Productions",United States of America,"English, Spanish"
4520618,Olympus Has Fallen,6.394,6218,Released,3/20/2013,170270201,FALSE,70000000,tt2302755,en,Olympus Has Fallen,"When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.",41.289,"Action, Thriller","Millennium Media, G-BASE, Nu Image",United States of America,"English, Korean"
4520619,Nobody,8.018,6217,Released,3/18/2021,61779301,FALSE,17000000,tt7888964,en,Nobody,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",44.03,"Action, Crime, Thriller","87North Productions, Odenkirk Provissiero Entertainment, Eighty Two Films",United States of America,"English, Russian, Spanish"
4520620,Pitch Perfect,7.295,6206,Released,9/28/2012,115400000,FALSE,17000000,tt1981677,en,Pitch Perfect,"College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions.",25.464,"Comedy, Music, Romance","Brownstone Productions, Gold Circle Films, Universal Pictures",United States of America,English
4520621,After Earth,5.191,6205,Released,5/30/2013,243843127,FALSE,130000000,tt1815862,en,After Earth,"One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance.",24.446,"Science Fiction, Action, Adventure","Columbia Pictures, Overbrook Entertainment, Blinding Edge Pictures, Sony Pictures",United States of America,English
4520622,The Irishman,7.615,6203,Released,11/1/2019,968853,FALSE,159000000,tt1302006,en,The Irishman,"Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.",23.095,"Crime, Drama, History","Tribeca Productions, Sikelia Productions, Winkler Films",United States of America,"English, Italian, Latin, Spanish"
4520623,Taken 2,6.3,6201,Released,9/27/2012,376141306,FALSE,45000000,tt1397280,en,Taken 2,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",47.042,"Action, Crime, Thriller","EuropaCorp, Grive Productions, M6 Films, Ciné+, 20th Century Fox, Canal+, Dune Entertainment, Karma Film Prod, Taken 2, Fox International Productions","France, United States of America","English, Turkish, Arabic"
4520624,Super 8,6.76,6199,Released,6/8/2011,260095986,FALSE,50000000,tt1650062,en,Super 8,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.",19.534,"Thriller, Science Fiction, Mystery","Bad Robot, Amblin Entertainment, Paramount, K/O Camera Toys",United States of America,English
4520625,The Intern,7.205,6199,Released,9/23/2015,194564672,FALSE,35000000,tt2361509,en,The Intern,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",27.542,Comedy,Waverly Films,United States of America,English
4520626,Lion,8.083,6199,Released,11/24/2016,140312928,FALSE,12000000,tt3741834,en,Lion,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",20.266,Drama,"The Weinstein Company, See-Saw Films, Screen Australia, Aquarius Films, Sunstar Entertainment","Australia, United Kingdom, United States of America","Bengali, English, Hindi"
4520627,Sleepy Hollow,7.169,6198,Released,11/19/1999,206071502,FALSE,100000000,tt0162661,en,Sleepy Hollow,New York detective Ichabod Crane is sent to Sleepy Hollow to investigate a series of mysterious deaths in which the victims are found beheaded. Locals believe the culprit to be none other than the legendary Headless Horseman.,32.443,"Drama, Fantasy, Thriller, Mystery, Horror","Paramount, Mandalay Pictures, American Zoetrope, Tim Burton Productions, Karol Film Productions, Scott Rudin Productions, Adam Schroeder Entertainment, Dieter Geissler Filmproduktion, StudioCanal, Lions Gate Films, Summit Entertainment","France, Germany, United States of America",English
4520628,Rio,6.719,6195,Released,4/3/2011,484635760,FALSE,90000000,tt1436562,en,Rio,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",43.578,"Animation, Adventure, Comedy, Family","Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox",United States of America,"English, Portuguese"
4520629,The Proposal,7.13,6189,Released,6/1/2009,317375031,FALSE,40000000,tt1041829,en,The Proposal,"When she learns she's in danger of losing her visa status and being deported, overbearing book editor Margaret Tate forces her put-upon assistant, Andrew Paxton, to marry her.",34.566,"Comedy, Romance, Drama","Kurtzman/Orci, Touchstone Pictures, Mandeville Films",United States of America,English
4520630,Mission: Impossible III,6.722,6186,Released,4/25/2006,398479497,FALSE,150000000,tt0317919,en,Mission: Impossible III,"Retired from active duty, and training recruits for the Impossible Mission Force, agent Ethan Hunt faces the toughest foe of his career: Owen Davian, an international broker of arms and information, who is as cunning as he is ruthless. Davian emerges to threaten Hunt and all that he holds dear -- including the woman Hunt loves.",45.484,"Adventure, Action, Thriller","Paramount, Cruise/Wagner Productions",United States of America,"German, English, Italian, Mandarin, Czech, Cantonese"
4520631,Midsommar,7.162,6185,Released,7/3/2019,47969371,FALSE,9000000,tt8772262,en,Midsommar,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",32.581,"Horror, Drama, Mystery","B-Reel Films, Square Peg","Sweden, United States of America","English, Swedish"
4520632,Scream,7.4,6180,Released,12/20/1996,173046663,FALSE,15000000,tt0117571,en,Scream,"A year after the murder of her mother, Sidney Prescott is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.",61.423,"Crime, Horror, Mystery","Dimension Films, Woods Entertainment, Miramax",United States of America,English
